VARIABLE: LHC.BCTDC.A6R4.B1:BEAM_INTENSITY
SINGLE COLUMN CONTINUOUS
DataType: NUMERIC
Unit: Charges
Description: Beam intensity

Timestamp (UTC_TIME),Value
2010-06-06 09:58:00.000,3.8862352941177E10
2010-06-06 09:59:00.000,3.9519529411765E10
2010-06-06 10:00:00.000,38888640000
2010-06-06 10:01:00.000,4.0003764705882E10
2010-06-06 10:02:00.000,4.1673882352941E10
2010-06-06 10:03:00.000,3.8600470588235E10
2010-06-06 10:04:00.000,40320000000
2010-06-06 10:05:00.000,39034800000
2010-06-06 10:06:00.000,37774800000
2010-06-06 10:07:00.000,4.0779529411765E10
2010-06-06 10:08:00.000,38883600000
2010-06-06 10:09:00.000,3.8941411764706E10
2010-06-06 10:10:00.000,37991520000
2010-06-06 10:11:00.000,3.9025411764706E10
2010-06-06 10:12:00.000,3.9055058823529E10
2010-06-06 10:13:00.000,38208240000
2010-06-06 10:14:00.000,38692080000
2010-06-06 10:15:00.000,36897840000
2010-06-06 10:16:00.000,39936960000
2010-06-06 10:17:00.000,3.9781411764706E10
2010-06-06 10:18:00.000,3.7439294117647E10
2010-06-06 10:19:00.000,38808000000
2010-06-06 10:20:00.000,3.8788235294118E10
2010-06-06 10:21:00.000,37986480000
2010-06-06 10:22:00.000,38127600000
2010-06-06 10:23:00.000,3.9173647058824E10
2010-06-06 10:24:00.000,3.7449176470588E10
2010-06-06 10:25:00.000,3.8704235294118E10
2010-06-06 10:26:00.000,3.7770352941177E10
2010-06-06 10:27:00.000,38702160000
2010-06-06 10:28:00.000,39342240000
2010-06-06 10:29:00.000,3.7488705882353E10
2010-06-06 10:30:00.000,3.7775294117647E10
2010-06-06 10:31:00.000,3.7790117647059E10
2010-06-06 10:32:00.000,38848320000
2010-06-06 10:33:00.000,38324160000
2010-06-06 10:34:00.000,3.8348470588235E10
2010-06-06 10:35:00.000,3.8407764705882E10
2010-06-06 10:36:00.000,3.8847529411765E10
2010-06-06 10:37:00.000,3.9761647058824E10
2010-06-06 10:38:00.000,37049040000
2010-06-06 10:39:00.000,3.7864235294118E10
2010-06-06 10:40:00.000,39049920000
2010-06-06 10:41:00.000,38404800000
2010-06-06 10:42:00.000,38359440000
2010-06-06 10:43:00.000,38586240000
2010-06-06 10:44:00.000,3.6915529411765E10
2010-06-06 10:45:00.000,37910880000
2010-06-06 10:46:00.000,3.9445411764706E10
2010-06-06 10:47:00.000,37497600000
2010-06-06 10:48:00.000,3.8857411764706E10
2010-06-06 10:49:00.000,3.8916705882353E10
2010-06-06 10:50:00.000,37149840000
2010-06-06 10:51:00.000,4.0265647058824E10
2010-06-06 10:52:00.000,3.7740705882353E10
2010-06-06 10:53:00.000,3.7888941176471E10
2010-06-06 10:54:00.000,3.9104470588235E10
2010-06-06 10:55:00.000,37744560000
2010-06-06 10:56:00.000,38036880000
2010-06-06 10:57:00.000,37462320000
2010-06-06 10:58:00.000,38535840000
2010-06-06 10:59:00.000,37895760000
2010-06-06 11:00:00.000,3.6732705882353E10
2010-06-06 11:01:00.000,37946160000
2010-06-06 11:02:00.000,3.9727058823529E10
2010-06-06 11:03:00.000,3.7459058823529E10
2010-06-06 11:04:00.000,38006640000
2010-06-06 11:05:00.000,37548000000
2010-06-06 11:06:00.000,3.8649882352941E10
2010-06-06 11:07:00.000,3.7775294117647E10
2010-06-06 11:08:00.000,37190160000
2010-06-06 11:09:00.000,3.9880235294118E10
2010-06-06 11:10:00.000,38349360000
2010-06-06 11:11:00.000,3.6831529411765E10
2010-06-06 11:12:00.000,39664800000
2010-06-06 11:13:00.000,38304000000
2010-06-06 11:14:00.000,3.8921647058824E10
2010-06-06 11:15:00.000,3.9865411764706E10
2010-06-06 11:16:00.000,3.9119294117647E10
2010-06-06 11:17:00.000,3.8323764705882E10
2010-06-06 11:18:00.000,3.7997647058824E10
2010-06-06 11:19:00.000,3.8229882352941E10
2010-06-06 11:20:00.000,3.7938352941177E10
2010-06-06 11:21:00.000,3.8066823529412E10
